,VIV_SEL,P1_1,P1_2,P1_3,P1_4,P1_5_1,P1_5_2,P2_1,P2_2,P2_3,cve_est,cve_mun,Cluster
322,3,2,1,1,1,1,1,4,1,1,1,1,2
323,4,3,1,1,1,1,2,5,1,1,1,1,2
324,5,2,1,1,1,1,1,7,1,1,1,1,2
325,1,2,1,1,1,1,2,3,1,1,1,1,2
326,2,3,1,1,1,2,1,4,1,1,1,1,2
327,3,3,1,1,1,1,1,5,1,1,1,1,2
328,4,2,1,1,1,2,2,1,1,1,1,1,1
329,5,3,1,1,1,1,1,6,1,1,1,1,2
330,1,3,1,1,1,1,1,7,1,1,1,1,2
331,2,3,1,1,1,1,1,5,1,1,1,1,2
332,3,2,1,1,1,1,1,3,1,1,1,1,2
333,4,3,1,1,1,1,1,5,1,1,1,1,2
334,5,3,1,1,1,1,1,1,1,1,1,1,1
335,1,2,1,1,1,1,1,4,1,1,1,1,2
336,2,2,1,1,1,1,1,3,1,1,1,1,2
337,3,3,1,1,1,1,1,5,1,1,1,1,2
338,4,2,1,1,1,1,1,3,1,1,1,1,1
339,1,3,1,1,1,1,1,5,1,1,1,1,2
340,2,3,1,1,1,1,1,5,1,1,1,1,2
341,4,3,1,1,1,1,1,3,1,1,1,1,2
342,5,3,1,1,1,1,1,4,1,1,1,1,1
343,2,2,1,1,1,1,1,2,1,1,1,1,2
344,5,3,1,1,1,1,1,3,1,1,1,1,1
345,1,3,1,1,1,2,1,3,1,1,1,1,2
346,2,2,1,1,1,1,1,8,1,1,1,1,2
347,3,1,1,1,1,1,2,6,1,1,1,1,2
348,5,3,1,1,1,1,1,5,1,1,1,1,2
349,2,3,1,1,1,1,2,2,1,1,1,1,2
350,3,3,1,1,1,1,1,4,1,1,1,1,2
351,4,2,1,1,1,1,1,3,2,3,1,1,2
352,5,3,1,1,1,1,1,3,1,1,1,1,1
353,1,2,1,1,1,1,1,3,1,1,1,1,2
354,2,3,1,1,1,1,1,3,1,1,1,1,2
355,3,3,1,1,1,1,1,3,1,1,1,1,2
356,4,2,1,1,1,1,1,3,1,1,1,1,1
357,5,3,1,1,1,1,1,5,1,1,1,1,2
358,1,3,1,1,1,1,2,9,2,2,1,1,2
359,2,3,1,1,1,1,1,3,1,1,1,1,2
360,4,3,1,1,1,1,2,3,1,1,1,1,2
361,5,3,1,1,1,1,1,3,1,1,1,1,1
362,2,3,1,1,1,1,1,3,1,1,1,1,2
363,4,3,1,1,1,1,1,5,1,1,1,1,2
364,5,2,1,1,1,1,1,5,1,1,1,1,1
365,1,3,1,1,1,1,1,3,2,2,1,1,2
366,2,3,1,1,1,1,1,4,1,1,1,1,2
367,3,3,1,1,1,1,1,4,1,1,1,1,2
368,5,3,1,1,1,1,1,3,1,1,1,1,1
369,1,3,1,1,1,1,1,2,1,1,1,1,2
370,2,3,1,1,1,1,1,2,1,1,1,1,2
371,3,3,1,1,1,1,1,4,1,1,1,1,2
372,4,3,1,1,1,1,1,6,2,2,1,1,2
373,5,3,1,1,1,1,1,3,1,1,1,1,1
374,1,3,1,1,1,1,1,6,1,1,1,1,2
375,2,3,1,1,1,1,1,3,1,1,1,1,2
376,3,3,1,1,1,1,1,4,1,1,1,1,2
377,4,2,1,1,1,1,1,5,1,1,1,1,2
378,1,2,1,1,1,2,1,4,1,1,1,1,2
379,2,3,1,1,1,1,1,2,1,1,1,1,2
380,3,3,1,1,1,1,1,4,1,1,1,1,2
381,4,3,1,1,1,1,1,4,1,1,1,1,2
